CodiceScuola,Alunni,Hand,Classi,annoScolastico
TPMM81601X,363,21,16,2021-2022
TPMM81701Q,275,31,15,2021-2022
TPMM82001G,171,11,9,2021-2022
TPMM82101B,308,24,14,2021-2022
TPMM83901L,505,16,23,2021-2022
TPMM84501X,116,8,6,2021-2022
CTMM8AK01L,245,12,12,2021-2022
CTMM83401D,412,19,19,2021-2022
CTMM8A301C,577,18,25,2021-2022
CTMM8BC013,16,4,1,2021-2022
TPMM822017,411,21,20,2021-2022
TPMM83801R,301,9,13,2021-2022
TPMM843018,404,14,20,2021-2022
TPMM844014,352,11,16,2021-2022
CLMM81601V,278,8,13,2021-2022
MEMM81603R,34,1,3,2021-2022
CTMM808011,125,9,6,2021-2022
SRMM840011,299,20,17,2021-2022
AGMM83601Q,318,14,17,2021-2022
MEMM82402P,54,3,3,2021-2022
MEMM822012,187,7,9,2021-2022
MEMM851012,231,22,14,2021-2022
MEMM85901L,90,11,5,2021-2022
MEMM86101L,170,25,9,2021-2022
MEMM86201C,200,15,10,2021-2022
MEMM864014,166,18,9,2021-2022
MEMM86501X,299,9,15,2021-2022
MEMM86601Q,253,8,13,2021-2022
MEMM86701G,417,17,20,2021-2022
MEMM869017,160,18,10,2021-2022
MEMM871017,176,24,10,2021-2022
MEMM872013,332,17,16,2021-2022
MEMM87301V,331,9,16,2021-2022
MEMM88201N,157,14,8,2021-2022
MEMM88701R,331,19,17,2021-2022
MEMM893014,705,28,33,2021-2022
MEMM89401X,450,7,22,2021-2022
MEMM89601G,245,8,12,2021-2022
MEMM89701B,226,27,12,2021-2022
MEMM8AC017,398,13,18,2021-2022
MEMM8AD013,301,19,15,2021-2022
MEMM8AE01V,279,14,15,2021-2022
PAMM81703A,71,3,4,2021-2022
MEMM88301D,267,10,14,2021-2022
MEMM8AA01G,315,10,16,2021-2022
MEMM8AB01B,296,13,14,2021-2022
CLMM82002G,67,4,4,2021-2022
CTMM835019,157,14,9,2021-2022
MEMM885037,24,0,2,2021-2022
CTMM81101R,154,13,8,2021-2022
CTMM80901R,106,11,7,2021-2022
MEMM84702B,28,3,2,2021-2022
PAMM09900R,970,47,49,2021-2022
CTMM836015,341,11,14,2021-2022
CTMM88201V,251,30,13,2021-2022
CTMM88301P,176,20,9,2021-2022
CTMM88801T,309,25,15,2021-2022
CTMM88901N,258,18,12,2021-2022
CTMM89001T,393,11,18,2021-2022
MEMM84601E,118,1,6,2021-2022
RGMM809014,355,8,16,2021-2022
RGMM810018,496,9,22,2021-2022
RGMM825012,479,14,20,2021-2022
RGMM837018,404,8,19,2021-2022
MEMM835047,24,0,2,2021-2022
MEMM87602B,44,4,3,2021-2022
MEMM886044,6,1,1,2021-2022
PAMM84002A,25,1,3,2021-2022
PAMM85801E,234,16,18,2021-2022
PAMM85901A,383,19,22,2021-2022
PAMM86401T,243,14,14,2021-2022
PAMM8A3011,190,18,11,2021-2022
MEMM849012,32,2,3,2021-2022
MEMM878034,45,2,3,2021-2022
AGMM819045,53,2,3,2021-2022
CLMM82003L,35,6,3,2021-2022
PAMM862016,175,8,9,2021-2022
PAMM825017,76,1,4,2021-2022
RGMM80102E,56,0,3,2021-2022
AGMM80802L,72,7,4,2021-2022
MEMM835036,15,0,1,2021-2022
MEMM814046,9,0,1,2021-2022
CTMM837011,332,17,14,2021-2022
CLMM81801E,144,9,7,2021-2022
CLMM81901A,142,4,7,2021-2022
AGMM85301D,160,2,8,2021-2022
MEMM834029,55,4,3,2021-2022
CTMM83901L,122,5,10,2021-2022
ENMM82701N,375,21,21,2021-2022
CLMM02400T,484,14,25,2021-2022
CLMM829011,348,17,17,2021-2022
ENMM80502T,54,3,3,2021-2022
MEMM83705X,87,3,6,2021-2022
SRMM85601E,231,15,12,2021-2022
SRMM858016,226,35,12,2021-2022
SRMM859012,245,12,14,2021-2022
MEMM81602Q,13,0,1,2021-2022
MEMM857044,41,3,3,2021-2022
MEMM842017,173,8,9,2021-2022
TPMM83301N,243,19,14,2021-2022
SRMM84101R,293,16,15,2021-2022
SRMM853013,199,15,10,2021-2022
SRMM85501P,147,15,7,2021-2022
CTMM84101L,250,14,12,2021-2022
CTMM8A5014,275,48,15,2021-2022
PAMM88202C,31,2,3,2021-2022
SRMM85401V,256,20,12,2021-2022
PAMM00700N,608,19,28,2021-2022
PAMM01500L,453,11,21,2021-2022
PAMM01900X,482,20,25,2021-2022
PAMM02300G,671,23,27,2021-2022
PAMM03600N,670,11,30,2021-2022
PAMM041005,669,24,35,2021-2022
PAMM05000X,941,23,41,2021-2022
PAMM138006,529,28,31,2021-2022
PAMM813011,240,11,11,2021-2022
PAMM847014,164,16,9,2021-2022
PAMM84801X,302,18,21,2021-2022
PAMM85101Q,202,31,12,2021-2022
PAMM85201G,209,17,12,2021-2022
PAMM85301B,143,11,7,2021-2022
PAMM854017,229,25,16,2021-2022
PAMM855013,206,11,12,2021-2022
PAMM85601V,243,22,12,2021-2022
PAMM869011,155,22,10,2021-2022
PAMM870015,154,21,9,2021-2022
PAMM871011,451,29,22,2021-2022
PAMM87201R,342,36,19,2021-2022
PAMM87301L,175,12,9,2021-2022
PAMM87401C,207,20,12,2021-2022
PAMM87701X,534,39,25,2021-2022
PAMM87801Q,444,14,21,2021-2022
PAMM87901G,254,22,14,2021-2022
PAMM89001A,354,25,18,2021-2022
PAMM892012,411,12,21,2021-2022
PAMM89301T,659,18,31,2021-2022
PAMM89401N,290,6,12,2021-2022
PAMM89501D,282,4,12,2021-2022
PAMM897015,135,21,10,2021-2022
PAMM898011,197,16,11,2021-2022
PAMM89901R,348,24,18,2021-2022
PAMM8A001D,217,25,12,2021-2022
PAMM8A1019,360,15,20,2021-2022
PAMM8A2015,419,20,27,2021-2022
PAMM8AA019,227,11,10,2021-2022
PAMM8AB015,152,14,8,2021-2022
PAMM8AC011,410,20,21,2021-2022
PAMM8AD01R,452,37,25,2021-2022
PAMM8AK015,457,13,25,2021-2022
PAMM8AL011,465,7,21,2021-2022
PAMM8AM01R,296,5,16,2021-2022
PAMM8AN01L,561,5,27,2021-2022
PAMM8AP018,439,4,20,2021-2022
PAMM8AQ014,371,15,18,2021-2022
PAMM8AR01X,213,11,10,2021-2022
PAMM8AS015,620,20,27,2021-2022
PAMM8AT011,352,26,17,2021-2022
PAMM8AU01R,274,20,15,2021-2022
PAMM8AV01L,581,34,30,2021-2022
PAMM8AX018,324,25,18,2021-2022
PAMM8AY014,223,25,12,2021-2022
PAMM8AZ01X,169,19,9,2021-2022
PAMM8BB01Q,488,25,28,2021-2022
AGMM83801B,303,13,15,2021-2022
AGMM847016,143,7,8,2021-2022
AGMM850012,279,11,15,2021-2022
TPMM07600G,204,13,12,2021-2022
TPMM82401V,276,13,14,2021-2022
PAMM88001Q,305,16,16,2021-2022
PAMM8A7018,179,8,10,2021-2022
PAMM8A8014,215,13,10,2021-2022
PAMM8AW01C,316,14,17,2021-2022
CTMM106006,771,41,35,2021-2022
CTMM84201C,107,26,6,2021-2022
CTMM84501X,308,26,16,2021-2022
CTMM893019,470,35,22,2021-2022
MEMM848016,211,10,11,2021-2022
MEMM849023,201,4,10,2021-2022
CTMM83801R,354,18,17,2021-2022
PAMM83002Q,55,1,3,2021-2022
PAMM83005V,51,0,3,2021-2022
TPMM806019,240,12,13,2021-2022
MEMM814035,35,0,3,2021-2022
PAMM88101G,157,2,9,2021-2022
ENMM825012,223,23,12,2021-2022
ENMM82601T,303,17,16,2021-2022
CTMM82102C,84,4,4,2021-2022
ENMM810018,211,16,10,2021-2022
MEMM84402X,99,3,6,2021-2022
TPMM807037,38,0,3,2021-2022
PAMM820025,50,1,3,2021-2022
PAMM818014,18,2,2,2021-2022
PAMM818025,48,2,3,2021-2022
AGMM84001B,228,6,12,2021-2022
AGMM86401X,222,15,12,2021-2022
SRMM853024,125,4,6,2021-2022
RGMM811014,281,11,13,2021-2022
RGMM81801V,357,12,16,2021-2022
SRMM844018,186,12,10,2021-2022
SRMM845014,124,4,7,2021-2022
PAMM88201B,108,2,6,2021-2022
AGMM85101T,208,2,10,2021-2022
MEMM83803N,14,2,1,2021-2022
CTMM80302V,99,8,6,2021-2022
AGMM805036,345,8,16,2021-2022
CTMM84202D,99,6,6,2021-2022
RGMM82001V,286,8,12,2021-2022
RGMM82201E,429,3,18,2021-2022
RGMM824016,203,7,9,2021-2022
RGMM831019,648,10,30,2021-2022
RGMM833011,453,16,20,2021-2022
CTMM89101N,324,36,16,2021-2022
CTMM84701G,296,9,14,2021-2022
AGMM841017,302,6,14,2021-2022
AGMM819023,129,4,6,2021-2022
ENMM816017,160,5,8,2021-2022
CLMM807025,38,3,3,2021-2022
AGMM856022,269,7,14,2021-2022
AGMM85701R,217,5,12,2021-2022
CLMM81701P,313,23,15,2021-2022
CTMM8AL01C,275,15,14,2021-2022
MEMM83203P,108,9,6,2021-2022
PAMM84004C,31,3,3,2021-2022
PAMM82804T,46,5,3,2021-2022
MEMM82003C,19,2,2,2021-2022
MEMM835069,15,0,1,2021-2022
MEMM88103X,31,1,3,2021-2022
MEMM87403R,125,4,8,2021-2022
SRMM84801G,198,8,9,2021-2022
SRMM85001G,304,11,15,2021-2022
SRMM85101B,174,8,9,2021-2022
TPMM807026,46,3,3,2021-2022
TPMM829012,237,20,12,2021-2022
AGMM81701A,148,12,9,2021-2022
AGMM813024,56,1,3,2021-2022
CLMM029001,680,47,32,2021-2022
PAMM81501L,178,2,9,2021-2022
CTMM80902T,67,8,4,2021-2022
MEMM85201T,188,5,10,2021-2022
MEMM82602A,75,2,5,2021-2022
AGMM818016,240,7,12,2021-2022
CTMM84801B,316,12,15,2021-2022
CTMM8AM018,268,16,13,2021-2022
PAMM884013,235,10,12,2021-2022
CTMM852013,259,4,11,2021-2022
CTMM86101T,306,13,14,2021-2022
MEMM877027,60,0,3,2021-2022
PAMM818036,38,0,3,2021-2022
CTMM80903V,59,8,4,2021-2022
MEMM842028,51,1,3,2021-2022
MEMM878012,58,3,3,2021-2022
CTMM85301V,181,12,10,2021-2022
MEMM84706G,19,2,2,2021-2022
MEMM813039,29,1,3,2021-2022
TPMM80902T,115,3,6,2021-2022
MEMM87901T,121,6,7,2021-2022
MEMM885015,193,8,10,2021-2022
CTMM064009,692,14,30,2021-2022
MEMM88903E,43,2,3,2021-2022
CTMM8A0022,25,2,2,2021-2022
MEMM83903D,55,2,3,2021-2022
AGMM805025,16,0,1,2021-2022
CLMM807014,131,11,7,2021-2022
RGMM81401G,295,6,12,2021-2022
MEMM83507A,12,1,1,2021-2022
AGMM863014,60,2,3,2021-2022
PAMM88501V,266,15,15,2021-2022
MEMM855019,132,7,7,2021-2022
AGMM80801G,191,9,10,2021-2022
CTMM85001B,259,21,13,2021-2022
TPMM807015,122,8,7,2021-2022
MEMM88901C,282,14,13,2021-2022
CTMM8AQ01G,189,10,10,2021-2022
MEMM856015,66,2,4,2021-2022
AGMM813013,97,3,6,2021-2022
MEMM87401P,64,3,3,2021-2022
MEMM88902D,40,0,3,2021-2022
MEMM83704V,64,1,4,2021-2022
AGMM054009,520,15,26,2021-2022
AGMM84401P,233,16,12,2021-2022
AGMM84501E,394,16,18,2021-2022
PAMM825039,82,3,5,2021-2022
RGMM81201X,249,9,13,2021-2022
RGMM81301Q,318,18,15,2021-2022
RGMM82601T,258,11,12,2021-2022
PAMM8BD02C,13,0,1,2021-2022
PAMM819054,8,0,1,2021-2022
CTMM8AN014,219,19,11,2021-2022
CTMM8AP01Q,244,12,12,2021-2022
CLMM82001E,172,12,9,2021-2022
AGMM819012,108,2,6,2021-2022
MEMM83802L,61,2,4,2021-2022
SRMM80101A,171,10,10,2021-2022
SRMM802016,164,22,9,2021-2022
SRMM80501N,52,6,3,2021-2022
SRMM80601D,253,22,12,2021-2022
SRMM807019,292,11,14,2021-2022
SRMM808015,235,8,12,2021-2022
SRMM809011,367,9,17,2021-2022
SRMM810015,90,9,6,2021-2022
SRMM811011,419,12,19,2021-2022
SRMM81201R,301,8,13,2021-2022
SRMM81301L,348,5,16,2021-2022
SRMM82801A,263,21,13,2021-2022
SRMM829016,241,7,11,2021-2022
SRMM861012,151,15,8,2021-2022
SRMM86201T,164,12,9,2021-2022
SRMM81701X,219,10,11,2021-2022
CLMM815013,179,11,9,2021-2022
SRMM84601X,238,17,13,2021-2022
MEMM87402Q,86,4,4,2021-2022
ENMM82702P,8,0,1,2021-2022
CLMM81903C,30,1,3,2021-2022
MEMM886011,339,13,17,2021-2022
MEMM857011,180,9,10,2021-2022
PAMM88601P,259,12,14,2021-2022
PAMM8A601C,581,22,29,2021-2022
PAMM88701E,433,23,21,2021-2022
MEMM87601A,220,15,10,2021-2022
MEMM877016,112,6,6,2021-2022
PAMM8AG029,100,6,6,2021-2022
MEMM89101C,138,5,7,2021-2022
PAMM88801A,322,18,18,2021-2022
TPMM82501P,729,30,36,2021-2022
TPMM82601E,184,8,9,2021-2022
TPMM836015,197,23,10,2021-2022
TPMM84001R,443,37,24,2021-2022
TPMM84201C,214,26,12,2021-2022
PAMM83702E,71,3,4,2021-2022
CTMM857016,252,9,11,2021-2022
CTMM06700R,662,14,31,2021-2022
CTMM858012,591,16,25,2021-2022
MEMM81605V,13,0,1,2021-2022
ENMM81801V,237,3,15,2021-2022
MEMM814013,24,1,2,2021-2022
MEMM814024,38,1,3,2021-2022
MEMM83804P,14,1,1,2021-2022
TPMM837011,232,29,13,2021-2022
MEMM82002B,77,4,5,2021-2022
ENMM817013,250,11,13,2021-2022
PAMM82803R,69,3,4,2021-2022
CLMM80401L,95,5,6,2021-2022
CTMM85502G,93,8,5,2021-2022
MEMM82001A,108,5,6,2021-2022
PAMM812037,50,0,3,2021-2022
CTMM85601A,385,12,18,2021-2022
PAMM81603E,63,4,4,2021-2022
PAMM12600X,561,33,36,2021-2022
AGMM826037,46,1,3,2021-2022
MEMM819016,322,13,17,2021-2022
PAMM817018,105,0,6,2021-2022
CLMM80402N,44,0,3,2021-2022
ENMM82102Q,105,14,7,2021-2022
ENMM82103R,9,0,1,2021-2022
TPMM81302D,38,2,3,2021-2022
RGMM802019,220,5,10,2021-2022
RGMM81501B,239,7,10,2021-2022
RGMM82701N,294,19,13,2021-2022
RGMM82801D,548,14,23,2021-2022
RGMM829019,249,23,12,2021-2022
RGMM83401R,442,11,21,2021-2022
RGMM83501L,93,8,5,2021-2022
CTMM85901T,155,15,8,2021-2022
CTMM860012,309,19,18,2021-2022
CTPS04401N,149,4,8,2021-2022
CTPC04401E,503,2,24,2021-2022
CTPM04000A,820,52,40,2021-2022
CTPS01000D,1606,6,71,2021-2022
CTRI03301C,234,13,10,2021-2022
CTSL00801B,330,46,16,2021-2022
CTTF033019,929,33,42,2021-2022
CTTN008018,437,15,20,2021-2022
CTTN008504,38,0,2,2021-2022
CTPC01000A,1015,13,44,2021-2022
CTTD18000C,912,35,51,2021-2022
CTTD18050T,77,0,4,2021-2022
CTRA01101X,78,12,5,2021-2022
CTRA011508,0,0,0,2021-2022
ENPM00801V,155,7,9,2021-2022
ENPM021019,176,2,12,2021-2022
AGPC010001,1073,3,46,2021-2022
AGPM03000A,1625,19,69,2021-2022
AGPS030009,1227,0,54,2021-2022
AGRC02301Q,475,43,26,2021-2022
AGTD09000R,732,3,36,2021-2022
AGTL02301D,153,9,8,2021-2022
AGTL02351V,144,0,6,2021-2022
AGRH02001D,134,0,15,2021-2022
ENRA00201C,81,8,5,2021-2022
ENRA00251T,0,0,0,2021-2022
TPPC009017,327,2,14,2021-2022
TPPM050001,888,24,38,2021-2022
TPPS00901A,711,2,31,2021-2022
TPTD02000X,796,32,37,2021-2022
TPTD020509,45,0,2,2021-2022
TPRA008014,270,12,13,2021-2022
TPRA00850C,0,0,0,2021-2022
PARH01101L,66,11,5,2021-2022
PARH011501,94,0,4,2021-2022
PAPM01802Q,42,0,4,2021-2022
AGRI024018,380,9,15,2021-2022
AGTF024015,434,9,16,2021-2022
SRPC070006,663,21,37,2021-2022
SRTD00901A,302,18,16,2021-2022
SRTD00903C,0,0,0,2021-2022
SRTD00951Q,0,0,0,2021-2022
SRTF00901L,627,21,35,2021-2022
SRTF009512,64,0,4,2021-2022
SRRH040018,20,0,2,2021-2022
SRRI022027,83,0,6,2021-2022
SRTL029023,9,0,1,2021-2022
SRPS02301R,792,21,42,2021-2022
SRRA02301A,277,39,19,2021-2022
SRTD02301L,199,8,11,2021-2022
SRTD023501,37,0,1,2021-2022
PAPC01000V,1546,56,72,2021-2022
PAPS03901P,1231,21,54,2021-2022
PARI010007,804,89,36,2021-2022
PARI01050L,148,0,6,2021-2022
PATD050008,932,43,52,2021-2022
PATD05050N,0,0,0,2021-2022
MEPC03401P,163,0,9,2021-2022
MEPS03401T,543,2,25,2021-2022
MERA01101P,116,16,7,2021-2022
MERA011503,111,0,4,2021-2022
MERI01101A,90,12,5,2021-2022
MERI01103C,80,0,5,2021-2022
METD08000A,405,17,22,2021-2022
METD08001B,84,0,7,2021-2022
METD08050Q,142,1,7,2021-2022
METF03000G,782,15,36,2021-2022
ENPS00201V,366,8,19,2021-2022
ENRA00202D,54,6,5,2021-2022
ENRA00252V,0,0,0,2021-2022
CTPS01601D,158,9,10,2021-2022
CTTF01601G,421,38,23,2021-2022
CTPM012017,193,14,11,2021-2022
CTRI01601P,114,13,6,2021-2022
CTTF012018,72,9,4,2021-2022
PAPM01401B,86,1,5,2021-2022
PARA01401X,129,5,7,2021-2022
PARH014014,108,12,6,2021-2022
PARH01450C,71,0,3,2021-2022
AGPC01701R,388,0,18,2021-2022
AGRI017015,171,5,8,2021-2022
AGRI01750D,80,0,4,2021-2022
AGTD01701Q,306,18,15,2021-2022
MERH024011,221,22,12,2021-2022
CTPC009017,337,12,18,2021-2022
CTPS00901A,412,2,18,2021-2022
CTRA00901X,37,6,3,2021-2022
CTRI00901G,69,2,4,2021-2022
CTRI00950X,0,0,0,2021-2022
CTTD011016,584,21,31,2021-2022
CTTD01151G,42,0,2,2021-2022
PAPM12000E,387,6,19,2021-2022
PARH001012,154,9,9,2021-2022
CTPC047012,728,4,35,2021-2022
CTPS04901R,855,12,38,2021-2022
CTRH004022,105,0,8,2021-2022
CTRI02401N,275,0,15,2021-2022
CTRI02402P,78,0,7,2021-2022
CTRI024502,141,0,6,2021-2022
CTSD04701G,116,16,7,2021-2022
CTSD04702L,49,0,4,2021-2022
CTTA00401L,166,13,10,2021-2022
CTTA004501,0,0,0,2021-2022
CTTD04901L,213,4,12,2021-2022
CTTD049512,56,0,3,2021-2022
CTTF004019,354,13,19,2021-2022
CLPC01301T,336,1,14,2021-2022
CLPC02000X,729,7,35,2021-2022
CLPM01401T,431,18,22,2021-2022
CLPS012015,150,10,8,2021-2022
CLPS01901X,1043,6,44,2021-2022
CLRH009013,415,36,23,2021-2022
CLRH00950B,94,0,4,2021-2022
CLRI01000N,613,36,30,2021-2022
CLRI010503,50,0,3,2021-2022
CLTA00901P,158,14,9,2021-2022
CLTD090005,700,21,36,2021-2022
CLTD090027,76,0,6,2021-2022
CLTD09050E,55,2,3,2021-2022
CLTE013018,674,11,28,2021-2022
CLTF012017,535,19,26,2021-2022
CLTF01251L,44,0,3,2021-2022
CLTF019012,89,0,5,2021-2022
AGTF02601R,277,10,16,2021-2022
AGPS002027,120,0,7,2021-2022
AGTD01801G,135,6,8,2021-2022
AGTD01850X,58,0,3,2021-2022
TPTL021017,85,14,5,2021-2022
TPTL02151L,73,0,2,2021-2022
PAPS02202A,143,5,8,2021-2022
CLRI01601N,53,5,4,2021-2022
AGPC001017,315,5,14,2021-2022
AGPS00101A,894,3,37,2021-2022
AGRA027014,97,0,5,2021-2022
AGRA02751D,168,0,8,2021-2022
AGTD02701A,780,40,32,2021-2022
SRPS150012,211,1,11,2021-2022
PAPM00401R,163,13,9,2021-2022
MEPS22000L,1059,16,49,2021-2022
MERA02401R,234,4,12,2021-2022
MERA024505,55,0,2,2021-2022
MERH024509,99,0,4,2021-2022
METD024013,101,11,5,2021-2022
PAPS00401Q,242,5,13,2021-2022
PARH00402E,430,80,26,2021-2022
PARH00450T,35,0,2,2021-2022
SRTF01101L,306,14,15,2021-2022
SRTF011512,78,0,4,2021-2022
MERA001014,56,12,5,2021-2022
PAPS007017,395,5,20,2021-2022
PARA00701R,122,10,8,2021-2022
PARA007516,0,0,0,2021-2022
TPPC00801B,96,5,6,2021-2022
TPRI00801Q,84,12,4,2021-2022
TPRM008017,65,6,4,2021-2022
TPTD00802B,208,15,10,2021-2022
PARA01851L,0,0,0,2021-2022
PARH01801B,122,7,9,2021-2022
PARH01850Q,24,0,1,2021-2022
AGRI026021,124,11,7,2021-2022
AGRI026508,64,0,4,2021-2022
AGPS002016,49,1,4,2021-2022
AGTD002012,103,1,5,2021-2022
TPPC032018,311,0,14,2021-2022
TPPM03201C,413,20,20,2021-2022
TPPS03201B,754,1,32,2021-2022
TPRC02101D,66,12,4,2021-2022
TPRH040003,617,53,30,2021-2022
TPRH040014,0,0,0,2021-2022
TPRH04050C,98,0,3,2021-2022
TPTD02101R,480,11,21,2021-2022
MEPM03401V,94,9,7,2021-2022
CTPC03000G,591,2,25,2021-2022
CTPC040006,1173,3,54,2021-2022
CTPC070002,667,2,30,2021-2022
CTPM020005,1163,28,51,2021-2022
CTPM03000Q,1399,42,65,2021-2022
CTPS017019,841,11,36,2021-2022
CTPS020004,1645,5,72,2021-2022
CTPS040009,2118,1,75,2021-2022
CTPS04001A,10,0,1,2021-2022
CTPS06000E,1697,4,67,2021-2022
CTRA03801X,297,53,17,2021-2022
CTRC03401G,175,27,9,2021-2022
